count,streamType,tag,time,values
786397,4,14,1551454279,602.0;14.0
786399,4,14,1551454280,601.0;14.0
786401,4,14,1551454281,600.0;14.0
786400,4,14,1551454281,600.0;14.0
786403,4,14,1551454282,599.0;14.0
786402,4,14,1551454282,599.0;14.0
786404,4,14,1551454283,597.0;14.0
786406,4,14,1551454284,594.0;14.0
786405,4,14,1551454284,594.0;14.0
786408,4,14,1551454285,590.0;14.0
786407,4,14,1551454285,590.0;14.0
786410,4,14,1551454286,586.0;14.0
786409,4,14,1551454286,586.0;14.0
786411,4,14,1551454287,582.0;14.0
786413,4,14,1551454288,579.0;14.0
786412,4,14,1551454288,579.0;14.0
786415,4,14,1551454289,577.0;14.0
786414,4,14,1551454289,577.0;14.0
786417,4,14,1551454290,575.0;14.0
786416,4,14,1551454290,575.0;14.0
786418,4,14,1551454291,573.0;14.0
786420,4,14,1551454292,573.0;14.0
786419,4,14,1551454292,573.0;14.0
786422,4,14,1551454293,572.0;14.0
786421,4,14,1551454293,572.0;14.0
786424,4,14,1551454294,570.0;14.0
786423,4,14,1551454294,570.0;14.0
786352,4,14,1551454251,587.0;14.0
786351,4,14,1551454251,587.0;14.0
786353,4,14,1551454252,593.0;14.0
786355,4,14,1551454253,597.0;14.0
786354,4,14,1551454253,597.0;14.0
786357,4,14,1551454254,601.0;14.0
786356,4,14,1551454254,601.0;14.0
786358,4,14,1551454255,604.0;14.0
786360,4,14,1551454256,606.0;14.0
786359,4,14,1551454256,606.0;14.0
786362,4,14,1551454257,610.0;14.0
786361,4,14,1551454257,610.0;14.0
786363,4,14,1551454258,613.0;14.0
786365,4,14,1551454259,617.0;14.0
786364,4,14,1551454259,617.0;14.0
786367,4,14,1551454260,618.0;14.0
786366,4,14,1551454260,618.0;14.0
786368,4,14,1551454261,619.0;14.0
786370,4,14,1551454262,618.0;14.0
786369,4,14,1551454262,618.0;14.0
786371,4,14,1551454263,619.0;14.0
786373,4,14,1551454264,616.0;14.0
786372,4,14,1551454264,616.0;14.0
786375,4,14,1551454265,614.0;14.0
786374,4,14,1551454265,614.0;14.0
786376,4,14,1551454266,611.0;14.0
786378,4,14,1551454267,609.0;14.0
786377,4,14,1551454267,609.0;14.0
786380,4,14,1551454268,607.0;14.0
786379,4,14,1551454268,607.0;14.0
786381,4,14,1551454269,606.0;14.0
786383,4,14,1551454270,605.0;14.0
786382,4,14,1551454270,605.0;14.0
786385,4,14,1551454271,605.0;14.0
786384,4,14,1551454271,605.0;14.0
786386,4,14,1551454272,605.0;14.0
786387,4,14,1551454273,605.0;14.0
786315,4,14,1551454230,566.0;14.0
786314,4,14,1551454230,566.0;14.0
786317,4,14,1551454231,566.0;14.0
786316,4,14,1551454231,566.0;14.0
786318,4,14,1551454232,567.0;14.0
786320,4,14,1551454233,566.0;14.0
786319,4,14,1551454233,566.0;14.0
786322,4,14,1551454234,566.0;14.0
786321,4,14,1551454234,566.0;14.0
786324,4,14,1551454235,565.0;14.0
786323,4,14,1551454235,565.0;14.0
786325,4,14,1551454236,563.0;14.0
786327,4,14,1551454237,561.0;14.0
